place,événement,zone,substrat,matériel,y,région
Rolle,VD_Rol_15,plage-seche,Sables grossiers,souple,2.0,grand-lac
Rolle,VD_Rol_16,plage-seche,Sables grossiers,souple,4.0,grand-lac
Rolle,VD_Rol_17,plage-seche,Sables grossiers,souple,5.0,grand-lac
Rolle,VD_Rol_18,plage-seche,Sables grossiers,souple,0.0,grand-lac
Rolle,VD_Rol_19,plage-seche,Sables grossiers,souple,4.0,grand-lac
Rolle,VD_Rol_20,plage-seche,Sables grossiers,souple,7.0,grand-lac
Rolle,VD_Rol_21,plage-seche,Sables grossiers,souple,6.0,grand-lac
Aubonne,VD_Aub_1,ligne-d'eau,Galets,souple,0.0,grand-lac
Aubonne,VD_Aub_2,ligne-d'eau,Galets,souple,0.0,grand-lac
Aubonne,VD_Aub_3,ligne-d'eau,Galets,souple,1.0,grand-lac
Aubonne,VD_Aub_4,ligne-d'eau,Galets,souple,0.0,grand-lac
Aubonne,VD_Aub_5,ligne-d'eau,Galets,souple,2.0,grand-lac
Aubonne,VD_Aub_6,plage-seche,Galets,souple,1.0,grand-lac
Tolochenaz,VD_Tol_1,ligne-d'eau,Sables grossiers,souple,0.0,grand-lac
Tolochenaz,VD_Tol_2,ligne-d'eau,Sables grossiers,souple,0.0,grand-lac
Tolochenaz,VD_Tol_3,ligne-d'eau,Sables grossiers,souple,0.0,grand-lac
Tolochenaz,VD_Tol_4,ligne-d'eau,Sables grossiers,souple,0.0,grand-lac
