Lieu;Aire;Temps;Position;Substrat;Date;Saison;Objet;Code;OPSAR;UNEP;Quantité;Poids;;;
Baby Plage;112;60;1;1;02.09.2022;3;Mousse de rembourage;G74;;;1;0,0008;0,008928571;0,8;0,8
Baby Plage;112;60;1;1;15.10.2022;4;Mousse de rembourage;G74;;;3;0,0024;0,026785714;0,8;0,8
Baby Plage;112;60;1;1;22.01.2022;1;Morceau de plastique de moins de 2,5cm;G78;;;2;0,0006;0,017857143;0,3;0,3
Baby Plage;384;200;2;1;22.01.2022;1;Morceau de plastique de moins de 2,5cm;G78;;;51;0,0153;0,1328125;0,3;0,3
Baby Plage;112;60;1;1;23.04.2022;2;Morceau de plastique de moins de 2,5cm;G78;;;5;0,0015;0,044642857;0,3;0,3
Baby Plage;384;200;2;1;23.04.2022;2;Morceau de plastique de moins de 2,5cm;G78;;;54;0,0162;0,140625;0,3;0,3
Baby Plage;112;60;1;1;02.09.2022;3;Morceau de plastique de moins de 2,5cm;G78;;;21;0,0063;0,1875;0,3;0,3
Baby Plage;384;200;2;1;02.09.2022;3;Morceau de plastique de moins de 2,5cm;G78;;;48;0,0144;0,125;0,3;0,3
Baby Plage;112;60;1;1;15.10.2022;4;Morceau de plastique de moins de 2,5cm;G78;;;10;0,003;0,089285714;0,3;0,3
Baby Plage;384;200;2;1;15.10.2022;4;Morceau de plastique de moins de 2,5cm;G78;;;20;0,006;0,052083333;0,3;0,3
Baby Plage;112;60;1;1;22.01.2022;1;Morceau de plastique entre 2,5 et 50cm;G79;;;1;0,003;0,008928571;3;3
Baby Plage;384;200;2;1;22.01.2022;1;Morceau de plastique entre 2,5 et 50cm;G79;;;13;0,039;0,033854167;3;3
Baby Plage;384;200;2;1;23.04.2022;2;Morceau de plastique entre 2,5 et 50cm;G79;;;10;0,03;0,026041667;3;3
Baby Plage;112;60;1;1;02.09.2022;3;Morceau de plastique entre 2,5 et 50cm;G79;;;2;0,006;0,017857143;3;3
Baby Plage;384;200;2;1;02.09.2022;3;Morceau de plastique entre 2,5 et 50cm;G79;;;8;0,024;0,020833333;3;3
