location,date,area,length,project,doy,quantity,code,loc_date,pcs/m,pcs/m²,slug,Project,city
baby-plage,2022-09-02,496.0,81.0,plastock,245,2,G95,"('baby-plage', '2022-09-02')",0.0246913580246913,0.0040322580645161,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,27,G106,"('baby-plage', '2022-10-15')",0.3333333333333333,0.0544354838709677,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,31,G112,"('baby-plage', '2022-10-15')",0.382716049382716,0.0625,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,6,G113,"('baby-plage', '2022-10-15')",0.074074074074074,0.0120967741935483,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,2,G114,"('baby-plage', '2022-10-15')",0.0246913580246913,0.0040322580645161,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,3,G117,"('baby-plage', '2022-10-15')",0.037037037037037,0.0060483870967741,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,1,G125,"('baby-plage', '2022-10-15')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,4,G131,"('baby-plage', '2022-10-15')",0.0493827160493827,0.0080645161290322,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,12,G145,"('baby-plage', '2022-10-15')",0.1481481481481481,0.0241935483870967,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,1,G2,"('baby-plage', '2022-10-15')",0.0123456790123456,0.002016129032258,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,5,G211,"('baby-plage', '2022-10-15')",0.0617283950617283,0.0100806451612903,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,30,G27,"('baby-plage', '2022-10-15')",0.3703703703703703,0.0604838709677419,baby-plage,Testing,Genève
baby-plage,2022-10-15,496.0,81.0,plastock,288,17,G30,"('baby-plage', '2022-10-15')",0.2098765432098765,0.034274193548387,baby-plage,Testing,Genève
