Plage,échantillon,orientation,position,substrat,fréquentation,situation,distance,objet,compte
Port Choiseul,GE_Por_4,NE,1,3,3,2,2,fibres,62.0
Port Choiseul,GE_Por_4,NE,1,3,3,2,2,souple,5.0
Port Choiseul,GE_Por_5,NE,1,3,3,2,2,fdure,0.0
Port Choiseul,GE_Por_5,NE,1,3,3,2,2,fibres,35.0
Port Choiseul,GE_Por_5,NE,1,3,3,2,2,souple,1.0
Port Choiseul,GE_Por_6,NE,1,3,3,2,2,fdure,1.0
Port Choiseul,GE_Por_6,NE,1,3,3,2,2,fibres,84.0
Port Choiseul,GE_Por_6,NE,1,3,3,2,2,souple,0.0
Port Choiseul,GE_Por_7,NE,2,3,3,2,2,fdure,696.0
Port Choiseul,GE_Por_7,NE,2,3,3,2,2,fibres,773.0
Port Choiseul,GE_Por_7,NE,2,3,3,2,2,souple,23.0
Port Choiseul,GE_Por_9,NE,2,3,3,2,2,fdure,157.0
Port Choiseul,GE_Por_9,NE,2,3,3,2,2,fibres,789.0
Port Choiseul,GE_Por_9,NE,2,3,3,2,2,souple,31.0
Préverenges,VD_Pré_1,SO,1,1,3,1,2,fdure,16.0
Préverenges,VD_Pré_1,SO,1,1,3,1,2,fibres,179.0
Préverenges,VD_Pré_1,SO,1,1,3,1,2,souple,3.0
Préverenges,VD_Pré_10,SO,1,1,3,1,2,fdure,40.0
Préverenges,VD_Pré_10,SO,1,1,3,1,2,fibres,53.0
Préverenges,VD_Pré_10,SO,1,1,3,1,2,souple,2.0
Préverenges,VD_Pré_11,SO,2,1,3,1,2,fdure,23.0
Préverenges,VD_Pré_11,SO,2,1,3,1,2,fibres,224.0
Préverenges,VD_Pré_11,SO,2,1,3,1,2,souple,6.0
Préverenges,VD_Pré_12,SO,2,1,3,1,2,fdure,13.0
Préverenges,VD_Pré_12,SO,2,1,3,1,2,fibres,124.0
Préverenges,VD_Pré_12,SO,2,1,3,1,2,souple,2.0
Préverenges,VD_Pré_13,SO,2,1,3,1,2,fdure,11.0
Préverenges,VD_Pré_13,SO,2,1,3,1,2,fibres,253.0
Préverenges,VD_Pré_13,SO,2,1,3,1,2,souple,12.0
